"","new.ID","Latitude","Longitude","groups","nitrogen","sand","cec","soc","phh2o","silt"
"3717","NEF_GloFung-its2_508_2021",-1.93,-61.45,112,0,0,0,0,0,0
"3718","NEF_GloFung-its2_509_2021",-1.91,-61.46,112,0,0,0,0,0,0
"3719","NEF_GloFung-its2_510_2021",-1.9,-61.46,112,221,350,145,474,43,325
"3720","NEF_GloFung-its2_511_2021",-1.74,-51.39,113,298,380,148,369,45,265
"3720.1","NEF_GloFung-its2_511_2021",-1.74,-51.39,113,298,380,148,369,45,265
"3720.2","NEF_GloFung-its2_511_2021",-1.74,-51.39,113,298,380,148,369,45,265
"3723","NEF_GloFung-its2_512_2021",-1.77,-51.42,113,301,416,142,460,46,240
"3724","NEF_GloFung-its2_513_2021",-1.77,-51.43,113,0,0,0,0,0,0
"3725","NEF_GloFung-its2_514_2021",-1.78,-51.43,113,296,304,226,639,49,302
"3726","NEF_GloFung-its2_515_2021",-1.74,-51.46,113,230,436,141,269,45,253
"3726.1","NEF_GloFung-its2_515_2021",-1.74,-51.46,113,230,436,141,269,45,253
"3726.2","NEF_GloFung-its2_515_2021",-1.74,-51.46,113,230,436,141,269,45,253
"3729","NEF_GloFung-its2_516_2021",-1.72,-51.45,113,290,398,159,299,45,230
"3729.1","NEF_GloFung-its2_516_2021",-1.72,-51.45,113,290,398,159,299,45,230
"3731","NEF_GloFung-its2_517_2021",-1.74,-51.44,113,239,464,170,596,44,216
"3732","NEF_GloFung-its2_518_2021",-4.35,-70.03,40,0,0,0,0,0,0
"3733","NEF_GloFung-its2_519_2021",-4.35,-70.02,40,318,140,162,493,44,628
"3734","NEF_GloFung-its2_520_2021",-4.34,-70.01,40,306,142,168,465,43,587
"3735","NEF_GloFung-its2_521_2021",-4.43,-70.08,40,337,180,173,426,43,506
"3736","NEF_GloFung-its2_522_2021",-4.42,-70.06,40,337,314,160,452,42,395
"3737","NEF_GloFung-its2_523_2021",-4.43,-70.07,40,347,240,163,500,43,451
