"","...1","new.ID","Latitude","Longitude","groups","nitrogen","sand","cec","soc","phh2o","silt"
"265",266,"NEF_diam_PE11_2025",-3.833,-73.598,16,304,325,216,621,46,367
"266",267,"NEF_diam_PE12_2025",-3.757,-74.085,16,474,340,256,1146,44,376
"267",268,"NEF_diam_PE13_2025",-3.764,-74.089,16,488,313,250,1142,47,362
"268",269,"NEF_diam_PE14_2025",-4.9,-73.63,17,350,237,218,807,42,406
"269",270,"NEF_diam_PE15_2025",-4.925,-73.611,17,318,244,217,580,42,407
"270",271,"NEF_diam_PE16_2025",-4.917,-73.614,17,297,251,193,632,42,415
"271",272,"NEF_diam_PE17_2025",-4.88,-73.648,17,355,216,243,783,42,405
"272",273,"NEF_diam_PE18_2025",-4.933,-73.722,17,355,236,187,776,43,454
"273",274,"NEF_diam_PE19_2025",-4.832,-73.741,17,0,0,0,0,0,0
"274",275,"NEF_diam_PE20_2025",-3.778,-73.686,16,309,385,188,1067,45,310
"275",276,"NEF_diam_PE21_2025",-3.83,-73.71,16,306,441,209,602,44,280
"276",277,"NEF_diam_PE22_2025",-3.807,-73.699,16,412,431,216,779,47,275
"277",278,"NEF_diam_PE23_2025",-4.129,-73.471,16,330,287,211,1008,45,379
"278",279,"NEF_diam_PE24_2025",-4.171,-73.483,16,374,206,214,854,45,437
"279",280,"NEF_diam_PE25_2025",-5.908,-73.724,17,335,297,176,431,43,390
"280",281,"NEF_diam_PE26_2025",-5.916,-73.728,17,326,298,180,330,43,399
"281",282,"NEF_diam_PE27_2025",-5.886,-73.765,17,362,284,172,420,44,428
"282",283,"NEF_diam_PE28_2025",-5.854,-73.779,17,317,287,170,399,44,397
"283",284,"NEF_diam_PE29_2025",-5.568,-73.885,17,317,304,199,496,44,385
"284",285,"NEF_diam_PE30_2025",-5.513,-73.848,17,310,287,222,590,44,389
"285",286,"NEF_diam_PE31_2025",-5.06,-73.82,17,328,243,209,717,44,386
