"","new.ID","PermanentID","sequencing_platform","NEF.dataset"
"1669","NEF_GloFung-its1_595_2021","GF04001034S","Illumina","ITS1"
"1670","NEF_GloFung-its1_595_2021","GF04001031S","Illumina","ITS1"
"1671","NEF_GloFung-its1_596_2021","GF04001029S","Illumina","ITS1"
"1672","NEF_GloFung-its1_592_2021","GF04001027S","Illumina","ITS1"
"1673","NEF_GloFung-its1_592_2021","GF04001026S","Illumina","ITS1"
"1674","NEF_GloFung-its1_592_2021","GF04001025S","Illumina","ITS1"
"1675","NEF_GloFung-its1_589_2021","GF04001024S","Illumina","ITS1"
"1703","NEF_GloFung-its1_607_2019","GF03008839S","Illumina","ITS1"
"1704","NEF_GloFung-its1_608_2019","GF03008838S","Illumina","ITS1"
"1705","NEF_GloFung-its1_607_2019","GF03008837S","Illumina","ITS1"
"1706","NEF_GloFung-its1_607_2019","GF03008836S","Illumina","ITS1"
"1707","NEF_GloFung-its1_607_2019","GF03008835S","Illumina","ITS1"
"1708","NEF_GloFung-its1_608_2019","GF03008834S","Illumina","ITS1"
"1709","NEF_GloFung-its1_607_2019","GF03008833S","Illumina","ITS1"
"1710","NEF_GloFung-its1_608_2019","GF03008832S","Illumina","ITS1"
"1711","NEF_GloFung-its1_607_2019","GF03008831S","Illumina","ITS1"
"1712","NEF_GloFung-its1_609_2019","GF03008243S","Illumina","ITS1"
"1713","NEF_GloFung-its1_609_2019","GF03008242S","Illumina","ITS1"
"1714","NEF_GloFung-its1_609_2019","GF03008241S","Illumina","ITS1"
"1715","NEF_GloFung-its1_610_2019","GF03008240S","Illumina","ITS1"
"1716","NEF_GloFung-its1_611_2019","GF03008239S","Illumina","ITS1"
"1717","NEF_GloFung-its1_612_2019","GF03008238S","Illumina","ITS1"
"1718","NEF_GloFung-its1_613_2019","GF03008237S","Illumina","ITS1"
"1719","NEF_GloFung-its1_614_2019","GF03008236S","Illumina","ITS1"
"1720","NEF_GloFung-its1_610_2019","GF03008235S","Illumina","ITS1"
"1721","NEF_GloFung-its1_611_2019","GF03008234S","Illumina","ITS1"
"1722","NEF_GloFung-its1_611_2019","GF03008233S","Illumina","ITS1"
"1723","NEF_GloFung-its1_615_2019","GF03008232S","Illumina","ITS1"
"1724","NEF_GloFung-its1_609_2019","GF03008231S","Illumina","ITS1"
"1725","NEF_GloFung-its1_611_2019","GF03008230S","Illumina","ITS1"
"1726","NEF_GloFung-its1_609_2019","GF03008229S","Illumina","ITS1"
"1727","NEF_GloFung-its1_610_2019","GF03008228S","Illumina","ITS1"
"1728","NEF_GloFung-its1_612_2019","GF03008227S","Illumina","ITS1"
"1729","NEF_GloFung-its1_612_2019","GF03008226S","Illumina","ITS1"
"1730","NEF_GloFung-its1_613_2019","GF03008225S","Illumina","ITS1"
"1731","NEF_GloFung-its1_611_2019","GF03008224S","Illumina","ITS1"
"1732","NEF_GloFung-its1_614_2019","GF03008223S","Illumina","ITS1"
"1733","NEF_GloFung-its1_614_2019","GF03008222S","Illumina","ITS1"
"1734","NEF_GloFung-its1_613_2019","GF03008221S","Illumina","ITS1"
"1735","NEF_GloFung-its1_609_2019","GF03008220S","Illumina","ITS1"
"1736","NEF_GloFung-its1_614_2019","GF03008219S","Illumina","ITS1"
"1737","NEF_GloFung-its1_611_2019","GF03008218S","Illumina","ITS1"
"1738","NEF_GloFung-its1_611_2019","GF03008217S","Illumina","ITS1"
"1739","NEF_GloFung-its1_613_2019","GF03008216S","Illumina","ITS1"
"1740","NEF_GloFung-its1_612_2019","GF03008215S","Illumina","ITS1"
"1741","NEF_GloFung-its1_612_2019","GF03008214S","Illumina","ITS1"
"1742","NEF_GloFung-its1_611_2019","GF03008213S","Illumina","ITS1"
"1743","NEF_GloFung-its1_616_2019","GF03008212S","Illumina","ITS1"
"1744","NEF_GloFung-its1_614_2019","GF03008211S","Illumina","ITS1"
"1745","NEF_GloFung-its1_609_2019","GF03008210S","Illumina","ITS1"
"1746","NEF_GloFung-its1_612_2019","GF03008209S","Illumina","ITS1"
"1747","NEF_GloFung-its1_616_2019","GF03008208S","Illumina","ITS1"
"1748","NEF_GloFung-its1_611_2019","GF03008207S","Illumina","ITS1"
"1749","NEF_GloFung-its1_609_2019","GF03008206S","Illumina","ITS1"
"1750","NEF_GloFung-its1_613_2019","GF03008205S","Illumina","ITS1"
"1751","NEF_GloFung-its1_610_2019","GF03008204S","Illumina","ITS1"
"1752","NEF_GloFung-its1_615_2019","GF03008203S","Illumina","ITS1"
"1753","NEF_GloFung-its1_615_2019","GF03008202S","Illumina","ITS1"
"1754","NEF_GloFung-its1_288_2019","GF03008201S","Illumina","ITS1"
"1755","NEF_GloFung-its1_617_2019","GF03008200S","Illumina","ITS1"
"1756","NEF_GloFung-its1_615_2019","GF03008199S","Illumina","ITS1"
"1757","NEF_GloFung-its1_614_2019","GF03008198S","Illumina","ITS1"
"1758","NEF_GloFung-its1_615_2019","GF03008197S","Illumina","ITS1"
"1759","NEF_GloFung-its1_616_2019","GF03008196S","Illumina","ITS1"
