PermanentID,Longitude,Latitude,continent,country
GF05012922S,-71.5514,-41.0831,South America,Argentina
GF05012921S,-67.4475,-54.4794,South America,Argentina
GF05011325S,-42.481667,-20.720917,South America,Brazil
GF05011322S,-42.481667,-20.720917,South America,Brazil
GF05011321S,-42.481667,-20.720917,South America,Brazil
GF05011154S,-79.85,9.15,North America,Panama
GF05011153S,-79.85,9.15,North America,Panama
GF05011152S,-79.85,9.15,North America,Panama
GF05011151S,-79.85,9.15,North America,Panama
GF05011150S,-79.85,9.15,North America,Panama
GF05011149S,-79.85,9.15,North America,Panama
GF05011148S,-79.85,9.15,North America,Panama
GF05011147S,-79.85,9.15,North America,Panama
GF05011146S,-79.85,9.15,North America,Panama
GF05011145S,-79.85,9.15,North America,Panama
GF05011144S,-79.85,9.15,North America,Panama
GF05011143S,-79.85,9.15,North America,Panama
GF05011142S,-79.85,9.15,North America,Panama
GF05011141S,-79.85,9.15,North America,Panama
GF05011140S,-79.85,9.15,North America,Panama
GF05011139S,-79.85,9.15,North America,Panama
GF05011138S,-79.85,9.15,North America,Panama
GF05011137S,-79.85,9.15,North America,Panama
GF05011136S,-79.85,9.15,North America,Panama
GF05011135S,-79.85,9.15,North America,Panama
GF05011134S,-79.85,9.15,North America,Panama
GF05011091S,-65.8,18.3,North America,Puerto Rico
GF05011090S,-65.8,18.3,North America,Puerto Rico
GF05011089S,-65.8,18.3,North America,Puerto Rico
GF05011088S,-65.8,18.3,North America,Puerto Rico
GF05011087S,-65.8,18.3,North America,Puerto Rico
GF05011086S,-65.8,18.3,North America,Puerto Rico
GF05011085S,-65.8,18.3,North America,Puerto Rico
GF05011084S,-65.8,18.3,North America,Puerto Rico
GF05011083S,-65.8,18.3,North America,Puerto Rico
GF05011082S,-65.8,18.3,North America,Puerto Rico
GF05011081S,-65.8,18.3,North America,Puerto Rico
GF05011080S,-65.8,18.3,North America,Puerto Rico
GF05011079S,-65.8,18.3,North America,Puerto Rico
GF05011078S,-65.8,18.3,North America,Puerto Rico
GF05011077S,-65.8,18.3,North America,Puerto Rico
GF05011076S,-65.8,18.3,North America,Puerto Rico
GF05011075S,-65.8,18.3,North America,Puerto Rico
